0.294742	0.100397	0.362591	-0.237415	-0.268292	0.169385	0.918130
0.303476	-0.091209	0.352218	-0.188666	-0.049554	0.287479	0.937713
0.302970	-0.086078	0.329230	0.035742	-0.090190	0.458935	0.883158
0.349422	-0.108379	0.193109	0.161281	-0.244893	0.441134	0.848184
0.247209	0.217631	0.240368	-0.070585	-0.324775	-0.042696	0.942187
0.348714	0.096697	0.201368	-0.181496	-0.439383	0.148890	0.867083
0.402283	0.092325	0.218718	-0.133964	-0.664039	0.031877	0.734908
0.156479	0.065996	0.396714	-0.143270	0.103499	0.251196	0.951663
0.113563	0.022907	0.486737	-0.123734	-0.108632	0.256265	0.952480
0.112564	0.020279	0.465768	-0.148817	-0.088723	0.255666	0.951114
0.161175	0.005504	0.455188	-0.266708	-0.041500	0.293588	0.917033
0.144708	0.229265	0.388334	-0.247006	0.056281	0.135101	0.957898
0.120381	0.273686	0.319327	-0.565171	-0.120887	-0.085868	0.811539
0.151564	0.065793	0.297100	-0.632644	-0.276342	0.056933	0.721218
0.152482	0.009988	0.344620	-0.848587	-0.051848	-0.042305	0.524807
0.295178	-0.096379	0.372360	0.833835	0.329845	-0.179000	-0.404822
0.291497	0.261128	0.205081	-0.369805	-0.368934	-0.169066	0.835792
0.290613	0.263157	0.204400	-0.065332	-0.404287	-0.032181	0.911728
0.282773	0.272596	0.207527	0.226971	-0.412048	0.143712	0.870659
0.354003	0.061672	0.280322	0.049546	-0.163926	0.140534	0.975153
0.348260	-0.122291	0.301413	0.069478	-0.116819	0.318855	0.938007
0.402623	-0.047173	0.258488	0.237108	-0.210756	0.407140	0.856504
0.458062	0.008309	0.245126	0.634892	-0.138584	0.434250	0.623805
0.212459	0.060106	0.390711	0.487611	0.175534	-0.058652	0.853219
0.210102	0.057994	0.417622	0.646076	0.071452	0.048798	0.758353
0.213193	0.070956	0.400674	0.968606	0.126684	0.078897	0.198818
0.301721	-0.161851	0.343605	0.686144	0.168813	0.315567	0.633345
